Ngram;Quantaty;Percent
то что;1020;40
не мочь;850;34
что он;799;32
алексей александрович;575;23
степан аркадьич;549;22
я не;548;21
он не;545;21
сказать он;542;21
и не;523;20
что она;424;17
сказать она;417;16
не быть;394;15
который он;369;14
он и;368;14
и он;335;13
это быть;312;12
он быть;311;12
не знать;306;12
что я;302;12
в этот;301;12
знать что;300;12
она не;295;11
она и;293;11
мочь быть;287;11
о то;274;10
сергей иванович;261;10
ничто не;260;10
и в;247;9
и что;238;9
потому что;228;9
как он;223;8
что это;220;8
с он;215;8
она быть;211;8
дарья александровна;211;8
на он;208;8
который она;207;8
в тот;202;8
быть в;198;7
к она;197;7
чувствовать что;191;7
и я;191;7
что же;190;7
но он;189;7
подходить к;189;7
и она;188;7
к он;184;7
что не;177;7
тот же;177;7
когда он;176;7
он в;173;6
тотчас же;172;6
как будто;172;6
не понимать;172;6
и с;171;6
смотреть на;171;6
в свой;170;6
ты не;163;6
не хотеть;160;6
на она;159;6
глядеть на;157;6
как бы;155;6
несмотря на;155;6
но я;155;6
что ты;155;6
так же;151;6
в который;149;5
понимать что;148;5
никогда не;146;5
сказать левин;146;5
это не;143;5
у он;141;5
как и;140;5
не только;137;5
должный быть;136;5
с она;133;5
видеть что;133;5
взглядывать на;129;5
что быть;128;5
говорить что;128;5
сказать что;128;5
входить в;126;5
он с;124;4
то как;122;4
и как;122;4
так как;121;4
что вы;117;4
она в;116;4
что они;116;4
что в;116;4
то чтобы;115;4
и потому;115;4
что ж;115;4
как она;115;4
быть не;115;4
но не;115;4
с тот;113;4
сказать степан;113;4
и быть;113;4
в то;112;4
один из;111;4
и все;110;4
как я;110;4
вы не;110;4
думать о;108;4
рука и;107;4
он чувствовать;107;4
и на;107;4
обращаться к;107;4
я знать;107;4
лидия ивановна;106;4
на то;105;4
думать что;105;4
в особенность;104;4
не иметь;104;4
то быть;103;4
не говорить;103;4
который быть;103;4
для он;103;4
а я;102;4
говорить он;101;4
в москва;101;4
с который;101;4
в первый;101;4
левин и;101;4
надо быть;101;4
если бы;99;3
я быть;98;3
когда она;97;3
но в;97;3
он знать;97;3
быть так;96;3
в его;96;3
это и;95;3
чувствовать себя;94;3
только что;94;3
он видеть;94;3
и весь;93;3
быть и;93;3
так что;92;3
об это;91;3
не думать;91;3
все что;90;3
он сказать;89;3
он так;89;3
себя и;88;3
я и;88;3
выходить из;87;3
на его;87;3
она с;87;3
я очень;87;3
он говорить;86;3
ну что;85;3
очень рад;85;3
у я;85;3
нельзя быть;84;3
за то;84;3
уже не;83;3
никто не;83;3
сказать анна;83;3
графиня лидия;82;3
в один;81;3
и левин;81;3
да я;81;3
весь это;81;3
на свой;80;3
вместе с;80;3
не в;79;3
на этот;79;3
и опять;79;3
но она;79;3
я сказать;79;3
в она;78;3
весь этот;78;3
он как;78;3
он хотеть;78;3
сказать вронский;78;3
в деревня;77;3
и теперь;76;3
агафья михайловна;76;3
быть бы;75;3
все это;75;3
не любить;75;3
в ее;75;3
отношение к;74;2
тот самый;74;2
посмотреть на;73;2
он на;73;2
он но;73;2
и то;73;2
с то;73;2
в глаз;73;2
у она;73;2
вронский и;73;2
